TCNitrousRun,PTFill,LCThrust
-1.120147,1.88652,1.494872
-0.8429304,1.667326,1.170916
-0.6696703,1.486813,0.9823443
-0.5495971,1.309524,0.8501832
-0.4424176,1.214432,0.7349451
-0.3803663,1.145934,0.6777289
-0.3408791,1.102418,0.642271
-0.3344322,1.064542,0.6172894
-0.3142857,1.037143,0.5955312
-0.318315,0.9984615,0.5818315
-0.3046154,0.9630037,0.5802198
-0.3110623,0.9646154,0.5737729
-0.3102564,0.9444689,0.5536263
-0.2852747,0.9452747,0.5544322
-0.2731868,0.9565568,0.5495971
-0.2659341,0.9573627,0.5060806
-0.2796337,0.9694506,0.5213919
-0.2844689,0.9646154,0.5350916
-0.2756044,0.9605862,0.5141392
-0.2804396,0.9638096,0.5270329
-0.2739927,0.972674,0.5165568
-0.2941392,0.9871796,0.5318682
-0.2715751,0.9742857,0.5181685
-0.2941392,0.9968498,0.5487912
-0.3030037,1.008132,0.5624908
-0.2973626,0.9968498,0.561685
-0.2860806,0.990403,0.5342857
-0.2997802,1.000073,0.5471795
-0.3102564,1.007326,0.5544322
-0.3118681,1.004908,0.5552382
-0.2772161,0.9710623,0.5262271
-0.2707692,0.9597803,0.5101099
-0.2989744,0.9621979,0.5230037
-0.2723809,0.9597803,0.503663
-0.2691575,0.9404396,0.5004396
-0.2901099,0.9517217,0.5246154
-0.2707692,0.9178755,0.5028572
-0.2957509,0.9227106,0.5173626
-0.2788279,0.8953115,0.5109158
-0.3110623,0.9428572,0.5028572
-0.3320147,0.9533334,0.5246154
-0.2941392,0.9517217,0.509304
-0.2997802,0.9694506,0.5262271
-0.3255677,0.9855679,0.5399268
-0.2981685,0.972674,0.5197802
-0.3021978,0.9742857,0.5391209
-0.2917216,0.9742857,0.5254212
-0.307033,0.9879854,0.543956
-0.3086447,0.949304,0.5205861
-0.3231502,0.9533334,0.5117216
-0.3513553,0.9630037,0.5173626
-0.3263736,0.9710623,0.5149451
-0.3263736,0.990403,0.5350916
-0.3021978,0.9710623,0.5117216
-0.3142857,0.9863737,0.5334799
-0.3231502,0.9758975,0.5399268
-0.2989744,0.9694506,0.5181685
-0.312674,0.9887913,0.5350916
-0.3207326,0.9855679,0.5407326
-0.3086447,0.9791209,0.5310623
-0.3231502,0.9944323,0.5512088
-0.3231502,0.9952381,0.556044
-0.3287912,0.9976557,0.5576557
-0.3078388,0.9839561,0.5367033
-0.3287912,0.9863737,0.5721612
-0.323956,0.9364103,0.5189744
-0.3287912,0.9501099,0.6084249
-0.3223443,0.943663,0.5568499
-0.3513553,0.9364103,0.5624908
-0.3352381,0.9597803,0.5262271
-0.3021978,0.9468864,0.5020513
-0.3167033,0.9791209,0.5399268
-0.3255677,0.9887913,0.5479854
-0.3094505,0.9758975,0.5302564
-0.3247619,0.9839561,0.5584616
-0.3432967,0.9501099,0.5641026
-0.3118681,0.949304,0.5310623
-0.3279853,0.9855679,0.5818315
-0.3376557,1.004908,0.5769963
-0.3408791,1.011355,0.5778022
-0.3432967,1.014579,0.578608
-0.323956,1.000073,0.556044
-0.3320147,1.008132,0.5713553
-0.3352381,0.9944323,0.5705494
-0.3263736,0.9855679,0.5495971
-0.3271795,0.9944323,0.5592674
-0.3352381,1.001685,0.5665202
-0.3505495,1.009744,0.5737729
-0.3457143,0.9984615,0.5761905
-0.3320147,0.9855679,0.5487912
-0.3142857,0.9630037,0.5262271
-0.323956,0.972674,0.5375092
-0.2997802,0.9452747,0.5189744
-0.2965568,0.9565568,0.5173626
-0.3118681,0.9710623,0.5415385
-0.3013919,0.961392,0.5230037
-0.3271795,0.9767034,0.5415385
-0.3304029,0.9855679,0.5455678
-0.3304029,0.996044,0.5528205
-0.3352381,1.00652,0.561685
-0.3432967,1.011355,0.5657143
-0.352967,1.001685,0.5641026
-0.3569963,0.9775092,0.5568499
-0.3191209,0.9791209,0.5358974
-0.3320147,0.9758975,0.5512088
-0.3150916,0.9750916,0.532674
-0.3384615,0.9952381,0.5536263
-0.3142857,0.9694506,0.5230037
-0.3304029,0.9621979,0.5358974
-0.3424909,0.9791209,0.5632967
-0.3352381,0.9871796,0.567326
-0.3690842,1.022637,0.5866666
-0.3715018,1.021026,0.5818315
-0.3610256,1.021026,0.5802198
-0.3674725,1.009744,0.5721612
-0.3569963,0.9952381,0.5624908
-0.3432967,1.000073,0.5753846
-0.3513553,1.014579,0.5697436
-0.3304029,0.9887913,0.5391209
-0.3336264,0.9912088,0.5504029
-0.3392674,0.9968498,0.5608791
-0.3424909,1.001685,0.5657143
-0.3392674,1.008132,0.5632967
-0.3537729,1.012967,0.5713553
-0.3287912,1.002491,0.5769963
-0.3304029,0.9879854,0.5447619
-0.329597,0.9944323,0.5528205
-0.2933333,0.9646154,0.5230037
-0.2868865,0.9533334,0.5117216
-0.3078388,0.9791209,0.5407326
-0.3134799,0.9920147,0.5512088
-0.3207326,1.000073,0.5592674
-0.3030037,0.9783151,0.538315
-0.3223443,0.9976557,0.5592674
-0.3223443,1.001685,0.5657143
-0.323956,1.011355,0.5705494
-0.3279853,1.012967,0.5713553
-0.3046154,0.9791209,0.538315
-0.3223443,0.9710623,0.5471795
-0.307033,0.9646154,0.5278388
-0.3352381,0.9783151,0.5455678
-0.3158974,0.9694506,0.5350916
-0.3408791,0.9952381,0.5592674
-0.3287912,0.9372162,0.5221978
-0.3320147,0.9758975,0.5641026
-0.3038095,0.9106227,0.5157509
-0.3328205,0.8936996,0.5318682
-0.3513553,0.925934,0.5141392
-0.323956,0.9275458,0.498022
-0.3344322,0.9597803,0.5286447
-0.3376557,0.9758975,0.5479854
-0.3441026,0.9895971,0.5544322
-0.3352381,0.9855679,0.5665202
-0.3304029,0.9855679,0.5431502
-0.336044,0.9968498,0.5584616
-0.3384615,0.9992674,0.5624908
-0.3505495,1.000879,0.567326
-0.3449084,1.003297,0.5705494
-0.3505495,0.9920147,0.5705494
-0.3191209,0.9702564,0.5375092
-0.3320147,0.9855679,0.5495971
-0.3481319,0.938022,0.5431502
-0.4069597,1.012967,0.5898901
-0.3610256,0.9879854,0.5431502
-0.3561905,0.9984615,0.5528205
-0.3497436,1.008132,0.5632967
-0.3465202,1.007326,0.5641026
-0.3449084,1.004103,0.567326
-0.370696,1.027472,0.5987546
-0.3634432,1.021026,0.5947252
-0.3465202,0.9791209,0.5810256
-0.3618315,1.016191,0.5834432
-0.3755311,1.021026,0.5947252
-0.3723077,1.010549,0.5866666
-0.3384615,0.9871796,0.5608791
-0.3610256,1.003297,0.5850549
-0.3610256,0.9887913,0.5947252
-0.3481319,0.9468864,0.5608791
-0.3803663,0.9775092,0.5471795
-0.3352381,0.9605862,0.5254212
-0.3400733,0.9605862,0.5479854
-0.3690842,0.9775092,0.5568499
-0.3521612,0.9871796,0.5810256
-0.3457143,0.9710623,0.5528205
-0.3368498,0.9694506,0.5608791
-0.3118681,0.9517217,0.538315
-0.323956,0.949304,0.5520146
-0.3142857,0.9533334,0.5367033
-0.336044,0.9734798,0.556044
-0.3481319,0.984762,0.5705494
-0.323956,0.9702564,0.5479854
-0.3449084,0.9887913,0.5737729
-0.3521612,1.000073,0.590696
-0.3626374,0.9895971,0.6060073
-0.3384615,0.9654213,0.5568499
-0.3610256,0.9895971,0.5898901
-0.3569963,0.9775092,0.5866666
-0.3723077,0.967033,0.5874725
-0.3279853,0.943663,0.5665202
-0.3384615,0.9734798,0.5689377
-0.3287912,0.9154579,0.590696
-0.3199267,0.920293,0.5536263
-0.3578022,0.9646154,0.5689377
-0.3634432,0.961392,0.5681319
-0.3336264,0.9533334,0.5399268
-0.3424909,0.9742857,0.561685
-0.3497436,0.9750916,0.5721612
-0.3287912,0.9734798,0.5512088
-0.3392674,0.9783151,0.5657143
-0.3191209,0.9646154,0.5479854
-0.3408791,0.9887913,0.5769963
-0.3449084,0.9984615,0.578608
-0.352967,1.009744,0.5874725
-0.352967,1.008938,0.590696
-0.352967,1.007326,0.5882784
-0.347326,0.9855679,0.5826374
-0.3271795,0.9758975,0.5528205
-0.3102564,0.9581685,0.5294505
-0.323956,0.9581685,0.5479854
-0.3191209,0.9605862,0.5375092
-0.3263736,0.9694506,0.5528205
-0.3384615,0.9775092,0.567326
-0.3110623,0.9533334,0.5334799
-0.2973626,0.938022,0.5399268
-0.3320147,0.9742857,0.5665202
-0.3513553,0.9976557,0.6043956
-0.3537729,0.9783151,0.6027839
-0.3755311,0.9734798,0.578608
-0.3505495,0.984762,0.5915018
-0.3650549,0.9799268,0.6060073
-0.3513553,1.007326,0.5834432
-0.3642491,0.996044,0.596337
-0.3658608,0.9791209,0.590696
-0.3336264,0.9517217,0.5463736
-0.3497436,0.9871796,0.5681319
-0.3610256,1.011355,0.5882784
-0.3279853,0.9654213,0.5447619
-0.3215384,0.9646154,0.5318682
-0.336044,0.9758975,0.5544322
-0.3392674,0.9839561,0.5584616
-0.341685,0.9887913,0.5649085
-0.3441026,0.9984615,0.5753846
-0.3505495,1.007326,0.5834432
-0.3465202,0.996044,0.590696
-0.3344322,0.9775092,0.5632967
-0.3328205,0.9767034,0.5681319
-0.3191209,0.961392,0.5455678
-0.3352381,0.9775092,0.5729671
-0.3231502,0.9694506,0.5487912
-0.3432967,0.961392,0.5778022
-0.3255677,0.9533334,0.5407326
-0.3086447,0.9356045,0.5149451
-0.3013919,0.9275458,0.5125275
-0.2917216,0.920293,0.4996337
-0.2852747,0.9170696,0.4972161
-0.2876923,0.9154579,0.4931869
-0.2739927,0.9073993,0.4931869
-0.3287912,0.9541392,0.5447619
-0.3094505,0.9396338,0.5173626
-0.2933333,0.9243223,0.503663
-0.283663,0.9146521,0.4956044
-0.2772161,0.9114286,0.4915751
-0.2772161,0.9138462,0.492381
-0.2691575,0.8993407,0.5012455
-0.2909158,0.9444689,0.5358974
-0.3094505,0.9517217,0.5302564
-0.3062271,0.961392,0.5358974
-0.3255677,0.9517217,0.5641026
-0.3255677,0.9581685,0.5915018
-0.3312088,0.9420513,0.5866666
-0.3441026,0.9501099,0.5737729
-0.3553846,0.972674,0.5898901
-0.3578022,0.9654213,0.5737729
-0.3287912,0.9710623,0.5576557
-0.3465202,0.9750916,0.5721612
-0.3457143,0.9839561,0.5882784
-0.3352381,0.9517217,0.5391209
-0.3513553,0.9597803,0.5778022
-0.3255677,0.9501099,0.5471795
-0.3513553,0.9662271,0.5600733
-0.3481319,0.9863737,0.5713553
-0.3271795,0.9662271,0.5423443
-0.3513553,0.9839561,0.5608791
-0.3545788,0.9775092,0.5649085
-0.336044,0.9565568,0.5665202
-0.3586081,0.9581685,0.5721612
-0.3626374,0.9863737,0.5794139
-0.3569963,0.9742857,0.5915018
-0.3561905,0.9339927,0.5641026
-0.352967,0.9654213,0.5641026
-0.3626374,0.9887913,0.5834432
-0.3618315,0.9758975,0.5810256
-0.3449084,0.9775092,0.5568499
-0.3199267,0.9597803,0.532674
-0.3078388,0.9452747,0.5165568
-0.294945,0.9275458,0.5028572
-0.2876923,0.9194872,0.4964103
-0.3900366,1.012161,0.630989
-0.3787546,1.003297,0.625348
-0.3940659,1.004908,0.5955312
-0.3755311,1.014579,0.5915018
-0.3723077,1.009744,0.5915018
-0.370696,0.9895971,0.5898901
-0.3658608,0.9879854,0.5931135
-0.3771429,1.003297,0.5987546
-0.3811722,0.9984615,0.5923077
-0.3465202,0.990403,0.5665202
-0.323956,0.9605862,0.5407326
-0.3328205,0.9565568,0.5520146
-0.3279853,0.9468864,0.5367033
-0.312674,0.9388279,0.5238095
-0.3505495,0.9597803,0.5778022
-0.3578022,0.9605862,0.5737729
-0.3336264,0.9484982,0.5407326
-0.3231502,0.9178755,0.5117216
-0.3175092,0.8880587,0.509304
-0.3384615,0.9364103,0.5125275
-0.3279853,0.9501099,0.5157509
-0.3481319,0.9742857,0.5479854
-0.3320147,0.9662271,0.5407326
-0.3658608,0.9887913,0.5721612
-0.3739194,1.001685,0.5923077
-0.381978,1.013773,0.6003663
-0.3868132,1.002491,0.6237363
-0.399707,1.036337,0.6124542
-0.3940659,1.024249,0.6172894
-0.3852015,1.012967,0.6068132
-0.3795604,1.001685,0.6205129
-0.3747253,1.011355,0.6132601
-0.3594139,0.990403,0.5745788
-0.3368498,0.9646154,0.5415385
-0.3537729,0.9775092,0.5713553
-0.3642491,0.9879854,0.5802198
-0.3642491,0.9742857,0.578608
-0.3465202,0.9742857,0.556044
-0.352967,0.9912088,0.5769963
-0.3336264,0.9758975,0.5568499
-0.3489377,0.996044,0.5866666
-0.3545788,0.9992674,0.5947252
-0.3545788,1.000073,0.5931135
-0.3682784,1.008132,0.5947252
-0.3424909,0.9912088,0.5729671
-0.3594139,1.008132,0.5931135
-0.3561905,1.008938,0.6035898
-0.3553846,1.002491,0.5971429
-0.3602198,0.9912088,0.6011722
-0.3384615,0.9863737,0.5721612
-0.3449084,0.9887913,0.578608
-0.3457143,0.9984615,0.5874725
-0.3432967,0.9968498,0.5898901
-0.3384615,0.9460806,0.5520146
-0.3030037,0.9460806,0.5463736
-0.3400733,0.9718681,0.5858608
-0.3102564,0.9638096,0.5520146
-0.329597,0.9638096,0.5705494
-0.3054212,0.9589744,0.5447619
-0.3175092,0.9646154,0.5592674
-0.3287912,0.9630037,0.5729671
-0.3175092,0.9630037,0.5544322
-0.3489377,0.9791209,0.5737729
-0.336044,0.9694506,0.5528205
-0.3215384,0.9484982,0.5310623
-0.3449084,0.9452747,0.5592674
-0.3465202,0.9742857,0.5737729
-0.3843956,0.9718681,0.5890842
-0.3674725,0.984762,0.5955312
-0.3561905,0.9855679,0.5697436
-0.3626374,0.9871796,0.5721612
-0.3352381,0.9621979,0.5455678
-0.3497436,0.9525275,0.5584616
-0.3287912,0.9517217,0.5431502
-0.352967,0.972674,0.5657143
-0.3384615,0.9654213,0.5536263
-0.3553846,0.9783151,0.5737729
-0.3352381,0.9581685,0.5858608
-0.3320147,0.961392,0.5520146
-0.3441026,0.9557509,0.5657143
-0.3344322,0.9597803,0.5528205
-0.3441026,0.9775092,0.5713553
-0.3368498,0.9662271,0.5737729
-0.3658608,0.9920147,0.5890842
-0.3715018,0.9855679,0.5947252
-0.3449084,0.972674,0.567326
-0.3658608,0.9879854,0.5826374
-0.370696,1.000073,0.5858608
-0.3731135,1.000879,0.5915018
-0.3715018,1.000073,0.5923077
-0.3723077,0.9984615,0.5947252
-0.3432967,0.9646154,0.5520146
-0.323956,0.9476923,0.5342857
-0.3287912,0.9509157,0.5487912
-0.3465202,0.972674,0.567326
-0.3545788,0.9718681,0.5761905
-0.3465202,0.9605862,0.5544322
-0.3497436,0.9662271,0.5649085
-0.3578022,0.9871796,0.5794139
-0.3948718,0.9968498,0.590696
-0.3513553,0.9775092,0.5632967
-0.3723077,0.9879854,0.5826374
-0.3682784,0.990403,0.5898901
-0.3658608,0.9952381,0.6035898
-0.3384615,0.9686447,0.5528205
-0.3497436,0.9646154,0.5600733
-0.3392674,0.9662271,0.5471795
-0.3723077,0.990403,0.5834432
-0.370696,0.9992674,0.5931135
-0.3642491,0.9662271,0.5689377
-0.3449084,0.9331868,0.5415385
-0.352967,0.938022,0.5584616
-0.336044,0.9476923,0.5447619
-0.3223443,0.9364103,0.5246154
-0.3191209,0.8936996,0.5278388
-0.347326,0.8832234,0.5181685
-0.376337,0.8961173,0.5415385
-0.3771429,0.9339927,0.5302564
-0.3344322,0.9130404,0.5109158
-0.3626374,0.9517217,0.5310623
-0.3336264,0.949304,0.5358974
-0.3521612,0.9565568,0.5608791
-0.3320147,0.9517217,0.5423443
-0.3497436,0.9734798,0.5697436
-0.3368498,0.9646154,0.5705494
-0.3674725,0.9952381,0.5898901
-0.376337,1.008132,0.6060073
-0.3690842,1.002491,0.6011722
-0.3690842,0.9984615,0.596337
-0.3408791,0.9694506,0.5576557
-0.3513553,0.9630037,0.5665202
-0.336044,0.9638096,0.5512088
-0.3610256,0.9855679,0.5769963
-0.3723077,0.9887913,0.5874725
-0.3723077,0.9952381,0.5955312
-0.3771429,1.001685,0.596337
-0.3771429,1.009744,0.6027839
-0.3827839,1.008132,0.596337
-0.3578022,0.9871796,0.6116484
-0.3739194,1.001685,0.5987546
-0.4021245,0.9791209,0.5979487
-0.352967,0.9630037,0.5641026
-0.3642491,0.9791209,0.5818315
-0.3626374,0.9944323,0.590696
-0.3642491,0.9791209,0.5947252
-0.3497436,0.9742857,0.5705494
-0.3602198,0.9775092,0.5850549
-0.3505495,0.9517217,0.561685
-0.3739194,0.9573627,0.5713553
-0.3690842,0.9855679,0.596337
-0.3908425,0.990403,0.5995605
-0.3465202,0.9646154,0.567326
-0.3481319,0.9710623,0.5729671
-0.3658608,0.9855679,0.5898901
-0.3690842,0.9984615,0.5955312
-0.3731135,1.000073,0.5947252
-0.3690842,0.9968498,0.5955312
-0.3698901,0.996044,0.596337
-0.370696,0.9952381,0.596337
-0.3747253,0.9992674,0.6003663
-0.3723077,1.001685,0.6035898
-0.3739194,1.004103,0.6052015
-0.3690842,1.00652,0.6035898
-0.370696,1.002491,0.6052015
-0.3658608,0.9968498,0.6043956
-0.3441026,0.9710623,0.5576557
-0.3207326,0.9509157,0.5334799
-0.3545788,0.984762,0.5818315
-0.3682784,0.9984615,0.5987546
-0.3803663,1.004908,0.6116484
-0.3852015,1.012967,0.6180952
-0.3892307,1.024249,0.6301832
-0.3924542,1.016191,0.6471062
-0.39326,1.004103,0.6156776
-0.4013186,1.002491,0.6317949
-0.3852015,0.9920147,0.6221246
-0.3884249,0.9871796,0.6108425
-0.3852015,1.025861,0.6156776
-0.3392674,0.9678389,0.5689377
-0.3537729,0.9710623,0.5826374
-0.3972894,0.9476923,0.5931135
-0.3505495,0.943663,0.5552382
-0.3304029,0.9251282,0.5318682
-0.3610256,0.9251282,0.5568499
-0.3392674,0.9073993,0.5375092
-0.3682784,0.9589744,0.5310623
-0.370696,0.984762,0.5705494
-0.3634432,0.990403,0.5850549
-0.3618315,0.996044,0.5931135
-0.3618315,0.9992674,0.5931135
-0.3465202,0.9871796,0.5955312
-0.3618315,1.000879,0.6124542
-0.3715018,0.972674,0.6100366
-0.3860073,0.9791209,0.5987546
-0.3352381,0.9589744,0.556044
-0.3594139,0.9839561,0.5850549
-0.3594139,0.9887913,0.590696
-0.3755311,0.972674,0.5939194
-0.329597,0.9597803,0.5649085
-0.3457143,0.9775092,0.5858608
-0.3215384,0.9525275,0.5495971
-0.3030037,0.9356045,0.5278388
-0.2981685,0.9227106,0.5109158
-0.2868865,0.9114286,0.5004396
-0.2852747,0.9073993,0.4964103
-0.289304,0.9017583,0.492381
-0.2844689,0.8969232,0.4883517
-0.2909158,0.8864469,0.4891575
-0.2796337,0.9001466,0.4875458
-0.312674,0.9372162,0.5270329
-0.3005861,0.9275458,0.5157509
-0.2917216,0.9154579,0.5076923
-0.3304029,0.9501099,0.5495971
-0.312674,0.932381,0.5238095
-0.3005861,0.9186813,0.5109158
-0.2933333,0.9114286,0.4996337
-0.289304,0.9146521,0.5052747
-0.2852747,0.9114286,0.5004396
-0.2788279,0.9073993,0.4972161
-0.2772161,0.8993407,0.4915751
-0.3142857,0.9339927,0.5270329
-0.3086447,0.9227106,0.5173626
-0.3054212,0.8985349,0.5068865
-0.3263736,0.943663,0.543956
-0.3102564,0.9275458,0.5221978
-0.2917216,0.9146521,0.5060806
-0.2868865,0.9082051,0.5004396
-0.3336264,0.9356045,0.5318682
-0.2989744,0.9194872,0.5157509
-0.2884982,0.9130404,0.5060806
-0.2796337,0.9082051,0.4964103
-0.2772161,0.9041759,0.4939927
-0.2788279,0.9001466,0.4883517
-0.2957509,0.8840293,0.5060806
-0.3110623,0.9146521,0.5213919
-0.2973626,0.9082051,0.5052747
-0.2852747,0.9001466,0.4931869
-0.283663,0.9001466,0.4964103
-0.2764102,0.8993407,0.4939927
-0.3094505,0.9331868,0.5294505
-0.3094505,0.932381,0.5246154
-0.3078388,0.9227106,0.5181685
-0.294945,0.9122345,0.5076923
-0.2901099,0.9017583,0.4972161
-0.283663,0.8953115,0.4899634
-0.2764102,0.8945055,0.4891575
-0.2723809,0.8936996,0.4875458
-0.2731868,0.8936996,0.4875458
-0.3062271,0.925934,0.5238095
-0.2933333,0.9194872,0.5125275
-0.3263736,0.9267399,0.543956
-0.3054212,0.9194872,0.5213919
-0.2917216,0.9082051,0.5076923
-0.2901099,0.9009524,0.498022
-0.2812454,0.9001466,0.4939927
-0.2828572,0.8961173,0.4899634
-0.2796337,0.8953115,0.4899634
-0.2828572,0.8888645,0.4883517
-0.2868865,0.8945055,0.4931869
-0.2860806,0.8904762,0.4891575
-0.2852747,0.8872528,0.4851282
-0.2772161,0.8912821,0.4810989
-0.3102564,0.8727473,0.4835165
-0.2804396,0.8735532,0.4835165
-0.2901099,0.9001466,0.4996337
-0.3191209,0.9146521,0.5270329
-0.3191209,0.925934,0.5230037
-0.3328205,0.9460806,0.5463736
-0.3465202,0.9646154,0.5665202
-0.3481319,0.9775092,0.5753846
-0.3231502,0.943663,0.5471795
-0.3424909,0.9509157,0.5657143
-0.3223443,0.9356045,0.5423443
-0.3271795,0.925934,0.5487912
-0.3424909,0.9630037,0.5834432
-0.3771429,0.9734798,0.5818315
-0.3481319,0.9630037,0.5624908
-0.3561905,0.972674,0.5737729
-0.3618315,0.9791209,0.5858608
-0.3392674,0.9525275,0.5536263
-0.3400733,0.9646154,0.5657143
-0.3465202,0.9630037,0.5729671
-0.3344322,0.9597803,0.5544322
-0.3376557,0.9694506,0.5769963
-0.3344322,0.9533334,0.556044
-0.3481319,0.9702564,0.5794139
-0.3497436,0.9630037,0.5729671
-0.3320147,0.9630037,0.5641026
-0.3320147,0.9758975,0.5794139
-0.3400733,0.9871796,0.5874725
-0.3134799,0.9565568,0.5544322
-0.2965568,0.9364103,0.5375092
-0.3110623,0.9404396,0.561685
-0.3005861,0.9428572,0.543956
-0.3344322,0.9597803,0.5649085
-0.3231502,0.9484982,0.5487912
-0.3521612,0.9654213,0.5745788
-0.3602198,0.9758975,0.5850549
-0.3610256,0.9783151,0.5923077
-0.3594139,0.9186813,0.5592674
-0.3771429,0.972674,0.5479854
-0.387619,0.961392,0.567326
-0.3690842,0.9767034,0.5866666
-0.3610256,0.9855679,0.5866666
-0.3392674,0.972674,0.5624908
-0.3441026,0.9630037,0.5761905
-0.3618315,0.990403,0.590696
-0.3336264,0.9630037,0.5568499
-0.3489377,0.9710623,0.578608
-0.352967,0.9662271,0.5874725
-0.341685,0.9243223,0.5608791
-0.3304029,0.920293,0.5375092
-0.3513553,0.9597803,0.5681319
-0.3698901,0.972674,0.578608
-0.3424909,0.9597803,0.5600733
-0.3569963,0.972674,0.5826374
-0.3642491,0.9734798,0.590696
-0.3457143,0.9597803,0.5850549
-0.3642491,0.9855679,0.6164835
-0.3771429,0.9855679,0.6035898
-0.3755311,0.9887913,0.6237363
-0.399707,0.9912088,0.6108425
-0.3803663,0.972674,0.5923077
-0.352967,0.9694506,0.5761905
-0.3545788,0.961392,0.578608
-0.3432967,0.9589744,0.5600733
-0.3537729,0.9662271,0.578608
-0.3400733,0.943663,0.5463736
-0.3521612,0.9565568,0.5665202
-0.3561905,0.9734798,0.5834432
-0.3610256,0.9887913,0.5947252
-0.3610256,0.9952381,0.5979487
-0.3521612,0.9944323,0.601978
-0.3408791,0.972674,0.6003663
-0.3304029,0.9605862,0.5681319
-0.3287912,0.9694506,0.5794139
-0.3062271,0.9517217,0.5552382
-0.3279853,0.9154579,0.5689377
-0.3021978,0.9227106,0.5407326
-0.2852747,0.9098168,0.5230037
-0.2739927,0.9009524,0.509304
-0.2659341,0.8953115,0.5028572
-0.2659341,0.8920879,0.4939927
-0.2691575,0.8936996,0.4915751
-0.2989744,0.8953115,0.4939927
-0.2756044,0.8961173,0.4964103
-0.3167033,0.9396338,0.5447619
-0.7027106,1.382051,0.9767034
-0.5794139,1.261978,0.8405128
-0.4931869,1.159634,0.7591209
-0.4303297,1.097582,0.6841759
-0.410989,1.064542,0.6745055
-0.39326,1.035531,0.6503296
-0.3940659,1.014579,0.6382418
-0.3497436,0.9887913,0.6293773
-0.3642491,0.9783151,0.6060073
-0.405348,0.9758975,0.6205129
-0.3956777,0.9662271,0.6116484
-0.3771429,0.9758975,0.5971429
-0.3304029,0.9484982,0.5552382
-0.3368498,0.9638096,0.5697436
-0.3457143,0.9758975,0.5818315
-0.3537729,0.9694506,0.5898901
-0.3432967,0.9638096,0.5657143
-0.3521612,0.9662271,0.5810256
-0.3344322,0.9517217,0.5632967
-0.3545788,0.9750916,0.5931135
-0.3658608,0.9984615,0.6108425
-0.3787546,1.004103,0.6350183
-0.3755311,0.9871796,0.6293773
-0.3843956,0.972674,0.6132601
-0.4029304,0.9694506,0.6043956
-0.3553846,0.9597803,0.5761905
-0.3787546,0.9638096,0.5834432
-0.3642491,0.9702564,0.5915018
-0.3731135,0.9758975,0.5947252
-0.3400733,0.9468864,0.5568499
-0.3199267,0.9275458,0.5342857
-0.3279853,0.9517217,0.5576557
-0.341685,0.9710623,0.5721612
-0.3199267,0.9388279,0.5552382
-0.3561905,0.9065934,0.5866666
-0.3731135,0.9114286,0.5866666
-0.3578022,0.9339927,0.5576557
-0.3545788,0.9621979,0.5713553
-0.3795604,0.967033,0.590696
-0.3271795,0.9597803,0.561685
-0.341685,0.967033,0.5778022
-0.3513553,0.9581685,0.5842491
-0.3368498,0.9525275,0.561685
-0.3618315,0.9775092,0.5898901
-0.3634432,0.9895971,0.5987546
-0.370696,0.9920147,0.5987546
-0.3642491,0.9879854,0.5987546
-0.3674725,0.9855679,0.5971429
-0.3368498,0.9533334,0.5568499
-0.3481319,0.9404396,0.5802198
-0.336044,0.943663,0.5479854
-0.3384615,0.961392,0.5778022
-0.3392674,0.961392,0.5826374
-0.3215384,0.9517217,0.5600733
-0.336044,0.9638096,0.5729671
-0.341685,0.9791209,0.5915018
-0.3513553,0.9944323,0.6052015
-0.323956,0.9646154,0.5641026
-0.3320147,0.9742857,0.5818315
-0.3344322,0.9597803,0.5802198
-0.3175092,0.9517217,0.5600733
-0.329597,0.9694506,0.5769963
-0.3489377,0.984762,0.5979487
-0.3513553,0.9871796,0.5947252
-0.3578022,0.9839561,0.5979487
-0.3545788,0.9662271,0.5955312
-0.3368498,0.9396338,0.5624908
-0.3271795,0.9404396,0.5479854
-0.3134799,0.9331868,0.5342857
-0.3312088,0.9533334,0.5641026
-0.352967,0.9710623,0.5802198
-0.3594139,0.9767034,0.590696
-0.3642491,0.949304,0.5866666
-0.3666667,0.9702564,0.5874725
-0.3497436,0.9573627,0.5665202
-0.3578022,0.9694506,0.5834432
-0.3561905,0.9565568,0.5890842
-0.3884249,0.9589744,0.607619
-0.3779487,0.9662271,0.5955312
-0.3779487,0.9694506,0.6092308
-0.3747253,0.932381,0.6052015
-0.3739194,0.8985349,0.5866666
-0.3803663,0.8936996,0.5681319
-0.3658608,0.9073993,0.5729671
-0.3964835,0.9339927,0.5761905
-0.7421978,1.403004,1.007326
